agency_cd,site_no,datetime,tz_cd,datetime,101280_00060,101280_00060_cd,
USGS,8353000,8/30/2019,0:00,8/30/2019 0:00,MDT,0.02,P
USGS,8353000,8/30/2019,0:15,8/30/2019 0:15,MDT,0.02,P
USGS,8353000,8/30/2019,0:30,8/30/2019 0:30,MDT,0.02,P
USGS,8353000,8/30/2019,0:45,8/30/2019 0:45,MDT,0.02,P
USGS,8353000,8/30/2019,1:00,8/30/2019 1:00,MDT,0.02,P
USGS,8353000,8/30/2019,1:15,8/30/2019 1:15,MDT,0.02,P
USGS,8353000,8/30/2019,1:30,8/30/2019 1:30,MDT,0.02,P
USGS,8353000,8/30/2019,1:45,8/30/2019 1:45,MDT,0.02,P
USGS,8353000,8/30/2019,2:00,8/30/2019 2:00,MDT,0.02,P
USGS,8353000,8/30/2019,2:15,8/30/2019 2:15,MDT,0.02,P
USGS,8353000,8/30/2019,2:30,8/30/2019 2:30,MDT,0.02,P
USGS,8353000,8/30/2019,2:45,8/30/2019 2:45,MDT,0.02,P
USGS,8353000,8/30/2019,3:00,8/30/2019 3:00,MDT,0.02,P
USGS,8353000,8/30/2019,3:15,8/30/2019 3:15,MDT,0.02,P
USGS,8353000,8/30/2019,3:30,8/30/2019 3:30,MDT,0.02,P
USGS,8353000,8/30/2019,3:45,8/30/2019 3:45,MDT,0.02,P
USGS,8353000,8/30/2019,4:00,8/30/2019 4:00,MDT,0.02,P
USGS,8353000,8/30/2019,4:15,8/30/2019 4:15,MDT,0.02,P
USGS,8353000,8/30/2019,4:30,8/30/2019 4:30,MDT,0.02,P
USGS,8353000,8/30/2019,4:45,8/30/2019 4:45,MDT,0.02,P
USGS,8353000,8/30/2019,5:00,8/30/2019 5:00,MDT,0.02,P
USGS,8353000,8/30/2019,5:15,8/30/2019 5:15,MDT,0.02,P
USGS,8353000,8/30/2019,5:30,8/30/2019 5:30,MDT,0.02,P
USGS,8353000,8/30/2019,5:45,8/30/2019 5:45,MDT,0.02,P
USGS,8353000,8/30/2019,6:00,8/30/2019 6:00,MDT,0.02,P
USGS,8353000,8/30/2019,6:15,8/30/2019 6:15,MDT,0.02,P
USGS,8353000,8/30/2019,6:30,8/30/2019 6:30,MDT,0.02,P
